hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Biopsy of eyelid lining,68100,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,4047,,,,,,,fee schedule,439.99,4497,
Remove eyelid lining lesion,68110,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,692.9,,,,,,,fee schedule,692.9,10940,
Remove eyelid lining lesion,68110,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,692.9,10940,
Remove eyelid lining lesion,68110,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,692.9,10940,
Remove eyelid lining lesion,68110,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,692.9,10940,
Remove eyelid lining lesion,68115,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,847.17,,,,,,,fee schedule,847.17,10940,
Remove eyelid lining lesion,68115,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,847.17,10940,
Remove eyelid lining lesion,68115,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,847.17,10940,
Remove eyelid lining lesion,68115,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,847.17,10940,
Remove eyelid lining lesion,68130,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1924.21,,,,,,,fee schedule,1924.21,10940,
Remove eyelid lining lesion,68130,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,1924.21,10940,
Remove eyelid lining lesion,68130,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1924.21,10940,
Remove eyelid lining lesion,68130,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1924.21,10940,
Remove eyelid lining lesion,68135,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,699.65,,,,,,,fee schedule,699.65,10940,
Remove eyelid lining lesion,68135,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,699.65,10940,
Remove eyelid lining lesion,68135,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,699.65,10940,
Remove eyelid lining lesion,68135,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,699.65,10940,
Treat eyelid by injection,68200,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,157.67,,,,,,,fee schedule,157.67,6979,
Treat eyelid by injection,68200,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,157.67,6979,
Treat eyelid by injection,68200,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,157.67,6979,
Treat eyelid by injection,68200,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,157.67,6979,
Revise/graft eyelid lining,68320,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2517.23,,,,,,,fee schedule,2517.23,10940,
Revise/graft eyelid lining,68320,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2517.23,10940,
Revise/graft eyelid lining,68320,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2517.23,10940,
Revise/graft eyelid lining,68320,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2517.23,10940,
Revise/graft eyelid lining,68325,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3022.95,,,,,,,fee schedule,3022.95,12821,
Revise/graft eyelid lining,68325,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,3022.95,12821,
Revise/graft eyelid lining,68325,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,3022.95,12821,
Revise/graft eyelid lining,68325,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,3022.95,12821,
Revise/graft eyelid lining,68326,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2979.29,,,,,,,fee schedule,2979.29,12821,
Revise/graft eyelid lining,68326,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2979.29,12821,
Revise/graft eyelid lining,68326,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,2979.29,12821,
Revise/graft eyelid lining,68326,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,2979.29,12821,
Revise/graft eyelid lining,68328,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3234.36,,,,,,,fee schedule,3234.36,10940,
Revise/graft eyelid lining,68328,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,3234.36,10940,
Revise/graft eyelid lining,68328,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,3234.36,10940,
Revise/graft eyelid lining,68328,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,3234.36,10940,
Revise eyelid lining,68330,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2138.49,,,,,,,fee schedule,2138.49,10940,
Revise eyelid lining,68330,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2138.49,10940,
Revise eyelid lining,68330,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2138.49,10940,
Revise eyelid lining,68330,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2138.49,10940,
Revise/graft eyelid lining,68335,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2986.52,,,,,,,fee schedule,2986.52,12821,
Revise/graft eyelid lining,68335,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2986.52,12821,
Revise/graft eyelid lining,68335,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,2986.52,12821,
Revise/graft eyelid lining,68335,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,2986.52,12821,
Separate eyelid adhesions,68340,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1941.97,,,,,,,fee schedule,1941.97,10940,
Separate eyelid adhesions,68340,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,1941.97,10940,
Separate eyelid adhesions,68340,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1941.97,10940,
Separate eyelid adhesions,68340,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1941.97,10940,
Revise eyelid lining,68360,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1910.94,,,,,,,fee schedule,1910.94,12821,
Revise eyelid lining,68360,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,1910.94,12821,
Revise eyelid lining,68360,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,1910.94,12821,
Revise eyelid lining,68360,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,1910.94,12821,
Revise eyelid lining,68362,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3017.66,,,,,,,fee schedule,3017.66,10940,
Revise eyelid lining,68362,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,3017.66,10940,
Revise eyelid lining,68362,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,3017.66,10940,
Revise eyelid lining,68362,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,3017.66,10940,
Harvest eye tissue alograft,68371,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1929.29,,,,,,,fee schedule,1929.29,10940,
Harvest eye tissue alograft,68371,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,1929.29,10940,
Harvest eye tissue alograft,68371,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1929.29,10940,
Harvest eye tissue alograft,68371,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1929.29,10940,
Eyelid lining surgery,68399,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,2505,6979,
Eyelid lining surgery,68399,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,2505,6979,
Eyelid lining surgery,68399,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,2505,6979,
Incise/drain tear gland,68400,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,609.64,,,,,,,fee schedule,609.64,5664,
Incise/drain tear gland,68400,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,609.64,5664,
Incise/drain tear gland,68400,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,5664,,,,,,,fee schedule,609.64,5664,
Incise/drain tear gland,68400,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,5097,,,,,,,fee schedule,609.64,5664,
Incise/drain tear sac,68420,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,762.99,,,,,,,fee schedule,762.99,4497,
Incise/drain tear sac,68420,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,762.99,4497,
Incise/drain tear sac,68420,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,4497,,,,,,,fee schedule,762.99,4497,
Incise/drain tear sac,68420,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,4047,,,,,,,fee schedule,762.99,4497,
Incise tear duct opening,68440,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,483.27,,,,,,,fee schedule,483.27,3195,
Incise tear duct opening,68440,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,483.27,3195,
Incise tear duct opening,68440,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,483.27,3195,
Incise tear duct opening,68440,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,483.27,3195,
Removal of tear gland,68500,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4950.34,,,,,,,fee schedule,4950.34,12821,
Removal of tear gland,68500,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,4950.34,12821,
Removal of tear gland,68500,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,4950.34,12821,
Removal of tear gland,68500,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,4950.34,12821,
Partial removal tear gland,68505,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4929.79,,,,,,,fee schedule,4929.79,12821,
Partial removal tear gland,68505,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,4929.79,12821,
Partial removal tear gland,68505,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,4929.79,12821,
Partial removal tear gland,68505,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,4929.79,12821,
Biopsy of tear gland,68510,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1282.36,,,,,,,fee schedule,1282.36,10940,
Biopsy of tear gland,68510,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,1282.36,10940,
Biopsy of tear gland,68510,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1282.36,10940,
Biopsy of tear gland,68510,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1282.36,10940,
Removal of tear sac,68520,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3458.13,,,,,,,fee schedule,3458.13,12821,
Removal of tear sac,68520,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,3458.13,12821,
Removal of tear sac,68520,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,3458.13,12821,
Removal of tear sac,68520,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,3458.13,12821,
Biopsy of tear sac,68525,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1134.51,,,,,,,fee schedule,1134.51,10940,
Biopsy of tear sac,68525,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,1134.51,10940,
Biopsy of tear sac,68525,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,1134.51,10940,
Biopsy of tear sac,68525,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,1134.51,10940,
Clearance of tear duct,68530,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,1153.77,,,,,,,fee schedule,1153.77,3195,
Clearance of tear duct,68530,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,1153.77,3195,
Clearance of tear duct,68530,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,1153.77,3195,
Clearance of tear duct,68530,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,1153.77,3195,
Remove tear gland lesion,68540,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4559.13,,,,,,,fee schedule,4559.13,10940,
Remove tear gland lesion,68540,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,4559.13,10940,
Remove tear gland lesion,68540,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,4559.13,10940,
Remove tear gland lesion,68540,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,4559.13,10940,
Remove tear gland lesion,68550,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5668.88,,,,,,,fee schedule,5248,12821,
Remove tear gland lesion,68550,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5248,,,,,,,fee schedule,5248,12821,
Remove tear gland lesion,68550,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,5248,12821,
Remove tear gland lesion,68550,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,5248,12821,
Repair tear ducts,68700,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2785.74,,,,,,,fee schedule,2785.74,10940,
Repair tear ducts,68700,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4108,,,,,,,fee schedule,2785.74,10940,
Repair tear ducts,68700,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,10940,,,,,,,fee schedule,2785.74,10940,
Repair tear ducts,68700,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,9846,,,,,,,fee schedule,2785.74,10940,
Revise tear duct opening,68705,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,772.28,,,,,,,fee schedule,772.28,3195,
Revise tear duct opening,68705,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,772.28,3195,
Revise tear duct opening,68705,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,772.28,3195,
Revise tear duct opening,68705,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,772.28,3195,
Create tear sac drain,68720,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3783.08,,,,,,,fee schedule,3783.08,12821,
Create tear sac drain,68720,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,3783.08,12821,
Create tear sac drain,68720,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,3783.08,12821,
Create tear sac drain,68720,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,3783.08,12821,
Create tear duct drain,68745,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3795.87,,,,,,,fee schedule,3795.87,12821,
Create tear duct drain,68745,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,3795.87,12821,
Create tear duct drain,68745,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,3795.87,12821,
Create tear duct drain,68745,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,3795.87,12821,
Create tear duct drain,68750,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,4021.96,,,,,,,fee schedule,4021.96,12821,
Create tear duct drain,68750,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,4021.96,12821,
Create tear duct drain,68750,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,12821,,,,,,,fee schedule,4021.96,12821,
Create tear duct drain,68750,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,11539,,,,,,,fee schedule,4021.96,12821,
Close tear duct opening,68760,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,685.78,,,,,,,fee schedule,685.78,3195,
Close tear duct opening,68760,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,685.78,3195,
Close tear duct opening,68760,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,685.78,3195,
Close tear duct opening,68760,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,685.78,3195,
Close tear duct opening,68761,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,551.9,,,,,,,fee schedule,551.9,3195,
Close tear duct opening,68761,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,3195,,,,,,,fee schedule,551.9,3195,
Close tear duct opening,68761,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,551.9,3195,
Close tear duct opening,68761,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,2505,,,,,,,fee schedule,551.9,3195,
Close tear system fistula,68770,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,2889.18,,,,,,,fee schedule,2889.18,5363,
Close tear system fistula,68770,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,5363,,,,,,,fee schedule,2889.18,5363,
Close tear system fistula,68770,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,4497,,,,,,,fee schedule,2889.18,5363,
Close tear system fistula,68770,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,Neighborhood Health Partnership Other Commercial Plan,4047,,,,,,,fee schedule,2889.18,5363,
Description Not Available,68800,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,6979,6979,
Dilate tear duct opening,68801,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,381.71,,,,,,,fee schedule,381.71,6979,
Dilate tear duct opening,68801,HCPCS,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,6979,,,,,,,fee schedule,381.71,6979,
Dilate tear duct opening,68801,HCPCS,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,2782,,,,,,,fee schedule,381.71,6979,
